stratum	control	replicate	spearman	mae
all_exact_kd	protein_permutation	56	0.2313827651540261	1.463678458716241
all_exact_kd	protein_permutation	57	0.2437508425026577	1.4586273027414458
all_exact_kd	protein_permutation	58	0.20848163843603731	1.4752275819863914
all_exact_kd	protein_permutation	59	0.24629246073807595	1.4518487606631056
all_exact_kd	protein_permutation	60	0.2264277825288611	1.4676179650128454
all_exact_kd	protein_permutation	61	0.23676258916837808	1.475637717832294
all_exact_kd	protein_permutation	62	0.26901523435932556	1.436052550145611
all_exact_kd	protein_permutation	63	0.2612823935036174	1.451890771620267
all_exact_kd	protein_permutation	64	0.24804831481532577	1.453805592754054
all_exact_kd	protein_permutation	65	0.21835918004651378	1.474949453407358
all_exact_kd	protein_permutation	66	0.24636454152099618	1.4568006748243767
all_exact_kd	protein_permutation	67	0.2615426636221435	1.4352448751158355
all_exact_kd	protein_permutation	68	0.2481298494008555	1.4546049981306195
all_exact_kd	protein_permutation	69	0.23007187410603996	1.4708898373446926
all_exact_kd	protein_permutation	70	0.25375814580838535	1.4538277338860577
all_exact_kd	protein_permutation	71	0.2363666968494089	1.476749179769967
all_exact_kd	protein_permutation	72	0.2671048630140285	1.450387991590266
all_exact_kd	protein_permutation	73	0.18379348642539034	1.4953932171959021
all_exact_kd	protein_permutation	74	0.25594487244993325	1.432991544197407
all_exact_kd	protein_permutation	75	0.22631680453468836	1.4770409363674901
all_exact_kd	protein_permutation	76	0.23072136018851244	1.477293549994683
all_exact_kd	protein_permutation	77	0.23727138284464783	1.469463569041336
all_exact_kd	protein_permutation	78	0.2385015732127153	1.4655388667317262
all_exact_kd	protein_permutation	79	0.2503180152339288	1.4546834564113034
all_exact_kd	protein_permutation	80	0.25846121738136035	1.4434822919401833
all_exact_kd	protein_permutation	81	0.233459716280136	1.4821332869621309
all_exact_kd	protein_permutation	82	0.23962290059490843	1.454344720010127
all_exact_kd	protein_permutation	83	0.2554312838302128	1.4568577623069199
all_exact_kd	protein_permutation	84	0.24158657043169984	1.4603799381791605
all_exact_kd	protein_permutation	85	0.24019949893660367	1.4756322170554268
all_exact_kd	protein_permutation	86	0.26317849562322443	1.4265941502611779
all_exact_kd	protein_permutation	87	0.2319112631178336	1.468503621930683
all_exact_kd	protein_permutation	88	0.22365272346738954	1.470089551541174
all_exact_kd	protein_permutation	89	0.2478262417492978	1.460487935170737
all_exact_kd	protein_permutation	90	0.2511317500547999	1.456025627220107
all_exact_kd	protein_permutation	91	0.262247048869228	1.4527193056155765
all_exact_kd	protein_permutation	92	0.2532809061681826	1.44849231213633
all_exact_kd	protein_permutation	93	0.24410985078029152	1.462428542637318
all_exact_kd	protein_permutation	94	0.22321252861636157	1.473705020955735
all_exact_kd	protein_permutation	95	0.23083305029470946	1.4657232833055707
all_exact_kd	protein_permutation	96	0.21389134975447796	1.49484017849665
all_exact_kd	protein_permutation	97	0.22015596558328512	1.4737423194082606
